scenario_description,model,region,historical_years,start_time,threshold,hysteresis_margin,total_wall_time_h,training_time_h,paused_time_h,checkpoint_overhead_h,total_energy_kwh,training_energy_kwh,paused_energy_kwh,checkpoint_energy_kwh,total_emissions_kgco2,tokens_processed,tokens_total,completed,num_pauses,overhead_budget_pct,actual_overhead_pct,within_overhead_budget,timestamps,carbon_intensity_series,state_series,emissions_series,tokens_remaining_series,baseline_emissions_kgco2,baseline_time_h,issues,stop_reason,co2_savings_pct
Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,400.0,350.0,3445.6666666666665,844.0833333333334,2600.8806666666674,0.7026666666666668,1943965.4109182577,1536798.8906667966,405887.1947266272,1279.3255253333332,724029.493475334,9603792591092,14800000000000,False,17,200.0,200.00160160160166,False,[],[],[],[],[],1011189.9310230978,1300.8333333333333,['Overhead 200.0% exceeds budget 200%'],budget_exceeded,28.398269082567083
Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,450.0,400.0,1964.3333333333333,1300.7812502032423,663.4280831300912,0.12400000000000001,2472054.758124121,2368296.0003702566,103532.99442586783,225.763328,980301.3770727289,14800000000000,14800000000000,True,3,200.0,51.01181179618719,True,[],[],[],[],[],1011189.9310230978,1300.8333333333333,[],completed,3.054673805851349
Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,400.0,350.0,2601.5833333333335,0.0,2601.542,0.04133333333333333,406065.65526209417,0.0,405990.4008194274,75.25444266666668,180045.41472419823,0,14800000000000,False,1,200.0,200.0016016016016,False,[],[],[],[],[],1035334.306760919,1300.8333333333333,['Overhead 200.0% exceeds budget 200%'],budget_exceeded,82.60992477999915
Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,450.0,400.0,3128.3333333333335,526.75,2601.4179999999997,0.16533333333333333,1365311.0434460363,959038.9759999175,405971.0496770274,301.0177706666667,579094.9899315856,5993244443508,14800000000000,False,4,200.0,200.00160160160155,False,[],[],[],[],[],1035334.306760919,1300.8333333333333,['Overhead 200.0% exceeds budget 200%'],budget_exceeded,44.066859742791166
Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-08-08T00:00:00Z,400.0,350.0,2601.5833333333335,0.0,2601.542,0.04133333333333333,406065.65526209417,0.0,405990.4008194274,75.25444266666668,172978.56627138535,0,14800000000000,False,1,200.0,200.0016016016016,False,[],[],[],[],[],1050536.8745916141,1300.8333333333333,['Overhead 200.0% exceeds budget 200%'],budget_exceeded,83.53426990950422
Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-08-08T00:00:00Z,450.0,400.0,2970.6666666666665,1300.7812502032423,1669.5134164634248,0.37199999999999994,2629513.547295539,2368296.0003702566,260540.25694117657,677.2899840000001,1073316.3188628163,14800000000000,14800000000000,True,9,200.0,128.37557555995096,True,[],[],[],[],[],1050536.8745916141,1300.8333333333333,[],completed,-2.1683621795815102
