timeseries_id,scenario_description,model,region,historical_years,start_time,threshold,hysteresis_margin,total_wall_time_h,training_time_h,paused_time_h,checkpoint_overhead_h,total_energy_kwh,total_emissions_kgco2,baseline_emissions_kgco2,baseline_time_h,co2_savings_pct,score,tokens_processed,tokens_total,completed,num_pauses,actual_overhead_pct,within_overhead_budget,stop_reason
0,Original Deepseek training,Deepseek,CN,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,550.0,500.0,3047.8333333333335,1300.7812502032423,1743.3734164634275,3.6786666666666616,2647060.317044114,1327020.4293160287,1319902.0512322676,1300.8333333333333,-0.53931108578211,-0.004015482738474668,14800000000000,14800000000000,True,89,134.3079078922835,True,completed
1,Original Deepseek training,Deepseek,CN,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,600.0,550.0,1606.8333333333333,1300.7812502032423,304.60541646342426,1.4466666666666677,2418465.8961037314,1323754.6200778065,1319902.0512322676,1300.8333333333333,-0.29188293494521883,-0.01240559597205306,14800000000000,14800000000000,True,35,23.52832831270369,True,completed
2,Original Deepseek training,Deepseek,CN,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,550.0,500.0,2113.8333333333335,1300.7812502032423,810.8200831300917,2.232000000000002,2498894.37647905,1234140.5584181808,1255964.6347684753,1300.8333333333333,1.7376346233122695,0.027799972280419805,14800000000000,14800000000000,True,54,62.504904889280326,True,completed
3,Original Deepseek training,Deepseek,CN,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,600.0,550.0,1388.8333333333333,1300.7812502032423,87.63874979675784,0.4133333333333333,2382725.2377571934,1247223.9893515015,1255964.6347684753,1300.8333333333333,0.6959308546601799,0.1028089029649627,14800000000000,14800000000000,True,10,6.769169153544546,True,completed
4,Original Deepseek training,Deepseek,CN,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,550.0,500.0,1463.8333333333333,1300.7812502032423,162.30808313009115,0.7440000000000001,2394979.9902523407,1201235.2081762992,1193790.8642950356,1300.8333333333333,-0.6235886120354681,-0.049748053424259725,14800000000000,14800000000000,True,18,12.534934919310311,True,completed
5,Original Deepseek training,Deepseek,CN,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,600.0,550.0,1300.8333333333333,1300.7812502032423,0.05208313009114583,0.0,2368304.128338539,1193790.8642950356,1193790.8642950356,1300.8333333333333,0.0,0.0,14800000000000,14800000000000,True,0,0.0040039883793793795,True,completed
6,Deepseek training in Sweden,Deepseek,SE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,25.0,20.0,2801.5833333333335,200.0,2601.335333333333,0.248,770544.0755705378,18839.389049993457,62083.68516968716,1300.8333333333333,69.654847326634,0.3482714476726281,2275555555200,14800000000000,False,6,200.0016016016016,False,budget_exceeded
7,Deepseek training in Sweden,Deepseek,SE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,30.0,25.0,1796.6666666666667,1300.7812502032423,495.3894164634243,0.4959999999999999,2446508.3370811325,59446.21933567751,62083.68516968716,1300.8333333333333,4.248243039698638,0.11143773759054648,14800000000000,14800000000000,True,12,38.122122106497486,True,completed
8,Deepseek training in Sweden,Deepseek,SE,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,25.0,20.0,3496.1666666666665,1300.7812502032423,2193.1947497967603,2.1906666666666688,2714549.1948172715,53702.546345937226,61005.283804183964,1300.8333333333333,11.97066385542475,0.07092702254656079,14800000000000,14800000000000,True,53,168.77437435874995,True,completed
9,Deepseek training in Sweden,Deepseek,SE,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,30.0,25.0,1807.0833333333333,1300.7812502032423,504.4007497967573,1.9013333333333349,2450473.2751843426,58953.20721339841,61005.283804183964,1300.8333333333333,3.3637686161289753,0.08642127478813393,14800000000000,14800000000000,True,46,38.92292290729826,True,completed
10,Deepseek training in Sweden,Deepseek,SE,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,25.0,20.0,1542.9166666666667,1300.7812502032423,240.56474979675764,1.5706666666666678,2408697.6266893763,42921.25535143543,46157.56817582642,1300.8333333333333,7.011445689822772,0.3766634894607601,14800000000000,14800000000000,True,38,18.614614598989977,True,completed
11,Deepseek training in Sweden,Deepseek,SE,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,30.0,25.0,1359.9166666666667,1300.7812502032423,58.598083130091155,0.5373333333333332,2378418.9843427767,44994.35739531745,46157.56817582642,1300.8333333333333,2.520086795036495,0.5543347535877375,14800000000000,14800000000000,True,13,4.546146130521523,True,completed
12,Deepseek training in Germany,Deepseek,DE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,350.0,300.0,3092.9166666666665,491.3333333333333,2599.4339999999993,2.149333333333335,1304131.505083436,423703.7389600098,979632.0390063507,1300.8333333333333,56.748685007303735,0.28374115283509466,5590281480608,14800000000000,False,52,200.00160160160152,False,budget_exceeded
