region,family,param,param_value,seed,sigma,theta_p,theta_r,start,savings,overhead,score,num_pauses,completed,within_budget,savings_perfect,degradation_frac
SE,additive,level,0.00000,1,0.00000,19.0000,18.0000,04-22,19.8229,100.963,0.599115,85.0000,true,true,19.8229,0.00000
SE,additive,level,0.00000,2,0.00000,19.0000,18.0000,04-22,19.8229,100.963,0.599115,85.0000,true,true,19.8229,0.00000
SE,additive,level,0.00000,3,0.00000,19.0000,18.0000,04-22,19.8229,100.963,0.599115,85.0000,true,true,19.8229,0.00000
SE,additive,level,0.00000,4,0.00000,19.0000,18.0000,04-22,19.8229,100.963,0.599115,85.0000,true,true,19.8229,0.00000
SE,additive,level,0.00000,5,0.00000,19.0000,18.0000,04-22,19.8229,100.963,0.599115,85.0000,true,true,19.8229,0.00000
SE,additive,level,0.250000,1,0.193410,19.0000,18.0000,04-22,19.8474,98.5666,0.599237,114.000,true,true,19.8229,-0.00123409
SE,additive,level,0.250000,2,0.193410,19.0000,18.0000,04-22,19.8573,98.2975,0.599286,114.000,true,true,19.8229,-0.00173452
SE,additive,level,0.250000,3,0.193410,19.0000,18.0000,04-22,19.8549,98.3808,0.599274,113.000,true,true,19.8229,-0.00161225
SE,additive,level,0.250000,4,0.193410,19.0000,18.0000,04-22,19.8537,98.3103,0.599269,113.000,true,true,19.8229,-0.00155521
SE,additive,level,0.250000,5,0.193410,19.0000,18.0000,04-22,19.8621,98.1822,0.599310,113.000,true,true,19.8229,-0.00197612
SE,additive,level,0.500000,1,0.386821,19.0000,18.0000,04-22,19.7750,98.4961,0.598875,141.000,true,true,19.8229,0.00241441
SE,additive,level,0.500000,2,0.386821,19.0000,18.0000,04-22,19.7866,98.5025,0.598933,139.000,true,true,19.8229,0.00183335
SE,additive,level,0.500000,3,0.386821,19.0000,18.0000,04-22,19.7762,98.5217,0.598881,143.000,true,true,19.8229,0.00235654
SE,additive,level,0.500000,4,0.386821,19.0000,18.0000,04-22,19.7805,98.3808,0.598902,140.000,true,true,19.8229,0.00214057
SE,additive,level,0.500000,5,0.386821,19.0000,18.0000,04-22,19.8014,98.2142,0.599007,136.000,true,true,19.8229,0.00108594
SE,additive,level,1.00000,1,0.773642,19.0000,18.0000,04-22,18.7762,99.3930,0.593881,575.000,true,true,19.8229,0.0528029
SE,additive,level,1.00000,2,0.773642,19.0000,18.0000,04-22,18.8605,99.4891,0.594303,554.000,true,true,19.8229,0.0485482
SE,additive,level,1.00000,3,0.773642,19.0000,18.0000,04-22,18.8917,99.8543,0.594458,557.000,true,true,19.8229,0.0469765
SE,additive,level,1.00000,4,0.773642,19.0000,18.0000,04-22,18.6443,99.0791,0.593222,608.000,true,true,19.8229,0.0594553
SE,additive,level,1.00000,5,0.773642,19.0000,18.0000,04-22,18.8067,99.4571,0.594033,567.000,true,true,19.8229,0.0512646
SE,additive,level,2.00000,1,1.54728,19.0000,18.0000,04-22,16.0440,101.635,0.580220,1630.00,true,true,19.8229,0.190632
