region,family,param,param_value,seed,sigma,theta_p,theta_r,start,savings,overhead,score,num_pauses,completed,within_budget,savings_perfect,degradation_frac
IT,multiplicative,level,1.00000,2,0.0135755,246.000,231.000,01-14,19.3594,140.067,0.596797,101.000,true,true,19.4228,0.00326617
IT,multiplicative,level,1.00000,3,0.0135755,246.000,231.000,01-14,19.4053,140.567,0.597026,101.000,true,true,19.4228,0.000903570
IT,multiplicative,level,1.00000,4,0.0135755,246.000,231.000,01-14,19.3680,140.356,0.596840,103.000,true,true,19.4228,0.00282151
IT,multiplicative,level,1.00000,5,0.0135755,246.000,231.000,01-14,19.3752,140.394,0.596876,101.000,true,true,19.4228,0.00245424
IT,multiplicative,level,2.00000,1,0.0271510,246.000,231.000,01-14,19.0409,139.734,0.595205,221.000,true,true,19.4228,0.0196633
IT,multiplicative,level,2.00000,2,0.0271510,246.000,231.000,01-14,19.0876,139.273,0.595438,208.000,true,true,19.4228,0.0172586
IT,multiplicative,level,2.00000,3,0.0271510,246.000,231.000,01-14,19.0075,139.709,0.595038,231.000,true,true,19.4228,0.0213815
IT,multiplicative,level,2.00000,4,0.0271510,246.000,231.000,01-14,19.0242,139.433,0.595121,231.000,true,true,19.4228,0.0205237
IT,multiplicative,level,2.00000,5,0.0271510,246.000,231.000,01-14,19.0215,139.587,0.595108,228.000,true,true,19.4228,0.0206610
IT,multiplicative,level,4.00000,1,0.0543020,246.000,231.000,01-14,17.3566,139.170,0.586783,832.000,true,true,19.4228,0.106382
IT,multiplicative,level,4.00000,2,0.0543020,246.000,231.000,01-14,17.3880,139.273,0.586940,826.000,true,true,19.4228,0.104765
IT,multiplicative,level,4.00000,3,0.0543020,246.000,231.000,01-14,17.0891,138.504,0.585446,863.000,true,true,19.4228,0.120152
IT,multiplicative,level,4.00000,4,0.0543020,246.000,231.000,01-14,17.3153,138.959,0.586576,828.000,true,true,19.4228,0.108510
IT,multiplicative,level,4.00000,5,0.0543020,246.000,231.000,01-14,17.1674,138.478,0.585837,836.000,true,true,19.4228,0.116125
IT,delay,steps,1.00000,1,NA,246.000,231.000,01-14,19.3661,140.849,0.596830,81.0000,true,true,19.4228,0.00292107
IT,delay,steps,1.00000,2,NA,246.000,231.000,01-14,19.3661,140.849,0.596830,81.0000,true,true,19.4228,0.00292107
