region,family,param,param_value,seed,sigma,theta_p,theta_r,start,savings,overhead,score,num_pauses,completed,within_budget,savings_perfect,degradation_frac
SE,additive,level,0.00000,1,0.00000,19.0000,18.0000,04-22,22.8685,99.4058,0.614342,77.0000,true,true,22.8685,0.00000
SE,additive,level,0.00000,2,0.00000,19.0000,18.0000,04-22,22.8685,99.4058,0.614342,77.0000,true,true,22.8685,0.00000
SE,additive,level,0.00000,3,0.00000,19.0000,18.0000,04-22,22.8685,99.4058,0.614342,77.0000,true,true,22.8685,0.00000
SE,additive,level,0.00000,4,0.00000,19.0000,18.0000,04-22,22.8685,99.4058,0.614342,77.0000,true,true,22.8685,0.00000
SE,additive,level,0.00000,5,0.00000,19.0000,18.0000,04-22,22.8685,99.4058,0.614342,77.0000,true,true,22.8685,0.00000
SE,additive,level,0.250000,1,0.193410,19.0000,18.0000,04-22,22.6823,93.9219,0.613411,100.000,true,true,22.8685,0.00814277
SE,additive,level,0.250000,2,0.193410,19.0000,18.0000,04-22,22.6549,93.7425,0.613274,99.0000,true,true,22.8685,0.00934034
SE,additive,level,0.250000,3,0.193410,19.0000,18.0000,04-22,22.6550,93.7489,0.613275,99.0000,true,true,22.8685,0.00933715
SE,additive,level,0.250000,4,0.193410,19.0000,18.0000,04-22,22.6419,93.6657,0.613209,100.000,true,true,22.8685,0.00990881
SE,additive,level,0.250000,5,0.193410,19.0000,18.0000,04-22,22.6514,93.7361,0.613257,101.000,true,true,22.8685,0.00949286
SE,additive,level,0.500000,1,0.386821,19.0000,18.0000,04-22,22.6185,93.9988,0.613092,128.000,true,true,22.8685,0.0109319
SE,additive,level,0.500000,2,0.386821,19.0000,18.0000,04-22,22.6057,93.7425,0.613029,118.000,true,true,22.8685,0.0114900
SE,additive,level,0.500000,3,0.386821,19.0000,18.0000,04-22,22.6269,93.7874,0.613134,112.000,true,true,22.8685,0.0105664
SE,additive,level,0.500000,4,0.386821,19.0000,18.0000,04-22,22.5607,93.6016,0.612803,127.000,true,true,22.8685,0.0134595
SE,additive,level,0.500000,5,0.386821,19.0000,18.0000,04-22,22.6080,93.7810,0.613040,121.000,true,true,22.8685,0.0113903
SE,additive,level,1.00000,1,0.773642,19.0000,18.0000,04-22,21.6983,93.7874,0.608491,467.000,true,true,22.8685,0.0511727
SE,additive,level,1.00000,2,0.773642,19.0000,18.0000,04-22,21.7653,94.2807,0.608826,466.000,true,true,22.8685,0.0482413
SE,additive,level,1.00000,3,0.773642,19.0000,18.0000,04-22,21.8499,94.0693,0.609249,425.000,true,true,22.8685,0.0445417
SE,additive,level,1.00000,4,0.773642,19.0000,18.0000,04-22,21.7515,93.8835,0.608758,456.000,true,true,22.8685,0.0488423
SE,additive,level,1.00000,5,0.773642,19.0000,18.0000,04-22,21.7521,93.8835,0.608760,455.000,true,true,22.8685,0.0488201
SE,additive,level,2.00000,1,1.54728,19.0000,18.0000,04-22,19.0556,95.1007,0.595278,1419.00,true,true,22.8685,0.166732
SE,additive,level,2.00000,2,1.54728,19.0000,18.0000,04-22,19.1228,95.6132,0.595614,1427.00,true,true,22.8685,0.163793
SE,additive,level,2.00000,3,1.54728,19.0000,18.0000,04-22,19.0910,95.2801,0.595455,1420.00,true,true,22.8685,0.165183
SE,additive,level,2.00000,4,1.54728,19.0000,18.0000,04-22,19.0763,95.4274,0.595382,1440.00,true,true,22.8685,0.165824
SE,additive,level,2.00000,5,1.54728,19.0000,18.0000,04-22,19.2355,95.5427,0.596177,1389.00,true,true,22.8685,0.158865
SE,additive,level,4.00000,1,3.09457,19.0000,18.0000,04-22,13.5666,100.463,0.567833,3292.00,true,true,22.8685,0.406754
SE,additive,level,4.00000,2,3.09457,19.0000,18.0000,04-22,13.5565,101.033,0.567782,3318.00,true,true,22.8685,0.407200
SE,additive,level,4.00000,3,3.09457,19.0000,18.0000,04-22,13.7261,99.7069,0.568630,3271.00,true,true,22.8685,0.399782
SE,additive,level,4.00000,4,3.09457,19.0000,18.0000,04-22,13.3779,100.540,0.566890,3353.00,true,true,22.8685,0.415007
SE,additive,level,4.00000,5,3.09457,19.0000,18.0000,04-22,13.7495,101.219,0.568748,3270.00,true,true,22.8685,0.398757
SE,multiplicative,level,0.00000,1,0.00000,19.0000,18.0000,04-22,22.8685,99.4058,0.614342,77.0000,true,true,22.8685,0.00000
SE,multiplicative,level,0.00000,2,0.00000,19.0000,18.0000,04-22,22.8685,99.4058,0.614342,77.0000,true,true,22.8685,0.00000
SE,multiplicative,level,0.00000,3,0.00000,19.0000,18.0000,04-22,22.8685,99.4058,0.614342,77.0000,true,true,22.8685,0.00000
SE,multiplicative,level,0.00000,4,0.00000,19.0000,18.0000,04-22,22.8685,99.4058,0.614342,77.0000,true,true,22.8685,0.00000
SE,multiplicative,level,0.00000,5,0.00000,19.0000,18.0000,04-22,22.8685,99.4058,0.614342,77.0000,true,true,22.8685,0.00000
