region,family,param,param_value,seed,sigma,theta_p,theta_r,start,savings,overhead,score,num_pauses,completed,within_budget,savings_perfect,degradation_frac
IT,additive,level,0.00000,1,0.00000,246.000,231.000,01-14,32.6655,194.675,0.663328,173.000,true,true,32.6655,0.00000
IT,additive,level,0.00000,2,0.00000,246.000,231.000,01-14,32.6655,194.675,0.663328,173.000,true,true,32.6655,0.00000
IT,additive,level,0.00000,3,0.00000,246.000,231.000,01-14,32.6655,194.675,0.663328,173.000,true,true,32.6655,0.00000
IT,additive,level,0.00000,4,0.00000,246.000,231.000,01-14,32.6655,194.675,0.663328,173.000,true,true,32.6655,0.00000
IT,additive,level,0.00000,5,0.00000,246.000,231.000,01-14,32.6655,194.675,0.663328,173.000,true,true,32.6655,0.00000
IT,additive,level,0.250000,1,1.10515,246.000,231.000,01-14,32.6246,194.426,0.663123,185.000,true,true,32.6655,0.00125291
IT,additive,level,0.250000,2,1.10515,246.000,231.000,01-14,32.6443,194.541,0.663222,189.000,true,true,32.6655,0.000649141
IT,additive,level,0.250000,3,1.10515,246.000,231.000,01-14,32.6432,194.490,0.663216,183.000,true,true,32.6655,0.000683599
IT,additive,level,0.250000,4,1.10515,246.000,231.000,01-14,32.6215,194.406,0.663108,184.000,true,true,32.6655,0.00134703
IT,additive,level,0.250000,5,1.10515,246.000,231.000,01-14,32.5998,194.342,0.662999,186.000,true,true,32.6655,0.00201058
IT,additive,level,0.500000,1,2.21030,246.000,231.000,01-14,32.5753,195.906,0.662877,196.000,true,true,32.6655,0.00276185
IT,additive,level,0.500000,2,2.21030,246.000,231.000,01-14,32.6564,194.592,0.663282,191.000,true,true,32.6655,0.000279129
IT,additive,level,0.500000,3,2.21030,246.000,231.000,01-14,32.6376,194.490,0.663188,192.000,true,true,32.6655,0.000854308
IT,additive,level,0.500000,4,2.21030,246.000,231.000,01-14,32.6208,194.406,0.663104,188.000,true,true,32.6655,0.00136890
IT,additive,level,0.500000,5,2.21030,246.000,231.000,01-14,32.6132,194.394,0.663066,191.000,true,true,32.6655,0.00160159
IT,additive,level,1.00000,1,4.42060,246.000,231.000,01-14,32.5280,194.310,0.662640,225.000,true,true,32.6655,0.00420940
IT,additive,level,1.00000,2,4.42060,246.000,231.000,01-14,32.6106,194.567,0.663053,215.000,true,true,32.6655,0.00168120
IT,additive,level,1.00000,3,4.42060,246.000,231.000,01-14,32.5356,194.297,0.662678,222.000,true,true,32.6655,0.00397794
IT,additive,level,1.00000,4,4.42060,246.000,231.000,01-14,32.5044,194.163,0.662522,215.000,true,true,32.6655,0.00493374
IT,additive,level,1.00000,5,4.42060,246.000,231.000,01-14,32.5472,194.317,0.662736,217.000,true,true,32.6655,0.00362130
IT,additive,level,2.00000,1,8.84121,246.000,231.000,01-14,32.0727,192.491,0.660364,382.000,true,true,32.6655,0.0181472
IT,additive,level,2.00000,2,8.84121,246.000,231.000,01-14,32.0939,193.939,0.660469,382.000,true,true,32.6655,0.0175003
IT,additive,level,2.00000,3,8.84121,246.000,231.000,01-14,32.0337,194.028,0.660169,421.000,true,true,32.6655,0.0193416
