scenario_description,model,region,historical_years,start_time,threshold,hysteresis_margin,total_wall_time_h,training_time_h,paused_time_h,checkpoint_overhead_h,total_energy_kwh,total_emissions_kgco2,tokens_processed,tokens_total,completed,num_pauses,actual_overhead_pct,within_overhead_budget,stop_reason
Deepseek training in Sweden,Deepseek,SE,"[2024, 2025]",1970-01-01T00:00:00Z,20.0,15.0,24.083333333333332,8.0,16.041999999999998,0.04133333333333333,17144.106461866788,298.9361876991989,91022222208,14800000000000,False,1,201.04166666666666,False,budget_exceeded
Deepseek training in Sweden,Deepseek,SE,"[2024, 2025]",1970-01-01T00:00:00Z,25.0,20.0,1556.5,1300.7812502032423,254.06541646342427,1.6533333333333347,2410955.017213163,41011.212882860586,14800000000000,14800000000000,True,40,19.658858840162594,True,completed
Deepseek training in Germany,Deepseek,DE,"[2024, 2025]",1970-01-01T00:00:00Z,300.0,250.0,3469.1666666666665,1300.7812502032423,2163.590749796761,4.794666666666656,2714670.29551583,621826.3105170683,14800000000000,14800000000000,True,116,166.69869865702827,True,completed
Deepseek training in Germany,Deepseek,DE,"[2024, 2025]",1970-01-01T00:00:00Z,350.0,300.0,2271.0,1300.7812502032423,967.2427497967587,2.9759999999999986,2524659.9023928368,597275.9658749674,14800000000000,14800000000000,True,72,74.58738736010883,True,completed
